phase,dataset,variant,seed,git_sha,timestamp,host,N,Dim,ef_ref,density_time_s,ef_used,Build_Time_s,Memory_MB,Recall_pct,CV,Avg_Degree
1,simplewiki-openai,vanilla,42,afaad50,2026-09-04T19:24:51,hallasan,20000,3072,1000,0.0,100,312.07755064964294,51.85766,95.14,,30.989317841079462
1,simplewiki-openai,vanilla_ef_ref,42,afaad50,2026-09-04T19:45:46,hallasan,20000,3072,1000,0.0,1000,1251.8948392868042,52.518364,99.93,,31.034447107476854
1,simplewiki-openai,dhnsw,42,afaad50,2026-09-04T20:06:25,hallasan,20000,3072,1000,2.620461940765381,1000,1235.7007150650024,48.776782,99.9,0.07091580445059195,27.110272323082622
