label,dim,CV,degree_drop,memory_saved,recall_delta
simplewiki-openai 3072d,3072,0.0709158044505919,12.51736336336766,5.941027805728229,4.760000000000005
landmark-dino 768d,768,0.1272348856818884,24.511357816754735,14.145591330507001,-0.0799999999999983
landmark-nomic 768d,768,0.20379068841095,31.085448981104268,26.523306405111047,-0.7999999999999972
MNIST 784d,784,0.2633617197445662,42.61653606572377,36.37122490524648,-1.1899999999999977
