phase,dataset,variant,seed,git_sha,timestamp,host,N,Dim,ef_ref,density_time_s,ef_used,Build_Time_s,Memory_MB,Recall_pct,CV,Avg_Degree
1,landmark-dino,vanilla,42,10cbb68,2026-09-04T20:21:58,hallasan,60000,768,149,0.0,100,801.0871255397797,150.002036,96.86,,30.997890855687658
1,landmark-dino,vanilla_ef_ref,42,10cbb68,2026-09-04T20:37:42,hallasan,60000,768,149,0.0,149,943.1238384246826,149.923796,98.5,,31.030766099359628
1,landmark-dino,dhnsw,42,10cbb68,2026-09-04T20:50:54,hallasan,60000,768,149,5.269603490829468,149,790.9516625404358,128.783361,96.78,0.1272348856818884,23.39988691240296
1,landmark-nomic,vanilla,42,10cbb68,2026-09-04T21:04:22,hallasan,60000,768,149,0.0,100,678.6592180728912,150.420624,99.07,,30.985248895618376
1,landmark-nomic,vanilla_ef_ref,42,10cbb68,2026-09-04T21:18:27,hallasan,60000,768,149,0.0,149,844.3425450325012,150.430528,99.66,,30.98560679384308
1,landmark-nomic,dhnsw,42,10cbb68,2026-09-04T21:28:46,hallasan,60000,768,149,5.321933507919312,149,618.4251959323883,110.524101,98.27,0.20379068841095,21.35334515850275
