phase,dataset,variant,seed,git_sha,timestamp,host,N,Dim,ef_ref,rp_projection,knn_density,cv_params,graph_build,total,Memory_MB,Memory_MB_preproc,Recall_pct,CV,Avg_Degree
1,mnist,dhnsw,42,cc762e4,2026-09-04T18:23:26,hallasan,60000,784,149,0.22662568092346191,5.017869472503662,0.000247955322265625,562.6586425304413,567.9033856391907,97.595888,142.832271,98.1,0.2633617197445662,17.7853534231151
1,mnist,vanilla,42,cc762e4,2026-09-04T18:33:36,hallasan,60000,784,149,0.0,0.0,0.0,609.4732980728149,609.4732980728149,153.256768,0.0,99.29,,30.99375214769923
