phase,dataset,variant,seed,git_sha,timestamp,host,N,Dim,ef_ref,Build_Time_s,Memory_MB,Recall_pct,CV,Avg_Degree,Delta,M_low,M_high,ef_low,ef_high
1,mnist,vanilla,42,2b586de,2026-09-04T14:05:00,hallasan,60000,784,149,646.2402110099792,153.330456,99.33,,30.987120041215867,,,,,
1,mnist,linear,42,2b586de,2026-09-04T14:05:00,hallasan,60000,784,149,536.5763416290283,97.562291,98.14,0.2633617197445662,17.78148285312199,0.3950425796168493,9.0,22.0,90.0,207.0
1,mnist,exp,42,2b586de,2026-09-04T14:05:00,hallasan,60000,784,149,558.9908971786499,103.426242,98.39,0.2633617197445662,19.59353764457045,0.32634864517839235,10.0,21.0,100.0,197.0
1,mnist,sqrt,42,2b586de,2026-09-04T14:05:00,hallasan,60000,784,149,453.1684470176697,73.801681,85.66,0.2633617197445662,9.421250775090796,0.7697817024489955,3.0,28.0,34.0,263.0
1,mnist,ratio,42,2b586de,2026-09-04T14:05:00,hallasan,60000,784,149,559.4145839214325,103.403332,98.52,0.2084610572163087,19.59458607805771,0.31269158582446305,10.0,21.0,102.0,195.0
