Dataset,Variant,N,Dim,ef_ref,seed,Build_Time_s,Memory_MB,Recall_pct,CV,Avg_Degree
mnist,DHNSW,60000,784,149,42,549.2907793521881,97.35526,98.17,0.2633617197445662,17.785315433052155
mnist,Vanilla HNSW,60000,784,149,42,610.7330327033997,153.20632,99.29,,31.003657392935292
