Dataset,Variant,N,Dim,ef_ref,seed,CV_Transform,Density_Method,Build_Time_s,Memory_MB,Recall_pct,CV,Avg_Degree
mnist,DHNSW,60000,784,149,42,linear,rp,559.3780562877655,97.393311,98.18,0.2633617197445662,17.789130692951726
mnist,Vanilla HNSW,60000,784,149,42,linear,rp,614.6938533782959,153.252928,99.3,,30.999968749023406
