Dataset,Variant,N,Dim,ef_ref,seed,CV_Transform,Density_Method,Build_Time_s,Memory_MB,Recall_pct,CV,Avg_Degree
mnist,DHNSW,60000,784,149,42,linear,rp,559.3779547214508,97.388963,98.23,0.2633617197445662,17.784672725112852
mnist,Vanilla HNSW,60000,784,149,42,linear,rp,615.0819926261902,153.178352,99.35,,31.009850830284268
