phase,dataset,variant,seed,git_sha,timestamp,host,N,Dim,ef_ref,rp_projection,knn_density,cv_params,graph_build,total,Memory_MB,Memory_MB_preproc,Recall_pct,CV,Avg_Degree
2,sift1m,dhnsw,42,9fe3928,2026-09-05T19:41:53,hallasan,60000,128,101,0.016530990600585938,1.9403493404388428,0.0002484321594238281,1061.888100385666,1063.8452291488647,104.80346,26.017183,96.67,0.2103582810070143,19.66941602439867
2,sift1m,vanilla,42,9fe3928,2026-09-05T20:17:39,hallasan,60000,128,101,0.0,0.0,0.0,2145.139345884323,2145.139345884323,151.729476,0.0,98.52,,31.0129017124091
