phase,dataset,variant,seed,git_sha,timestamp,host,N,Dim,ef_ref,rp_projection,knn_density,cv_params,graph_build,total,Memory_MB,Memory_MB_preproc,Recall_pct,CV,Avg_Degree
2,glove100k,dhnsw,42,9fe3928,2026-09-05T19:03:11,hallasan,60000,300,109,0.05371594429016113,2.407007932662964,0.00015997886657714844,667.4280650615692,669.8889489173889,112.940324,64.155215,98.8,0.17200635099772987,21.278976455447044
2,glove100k,vanilla,42,9fe3928,2026-09-05T19:18:33,hallasan,60000,300,109,0.0,0.0,0.0,921.5503532886505,921.5503532886505,144.446368,0.0,99.39,,31.024164266933766
