phase,dataset,variant,seed,git_sha,timestamp,host,N,Dim,ef_ref,rp_projection,knn_density,cv_params,graph_build,total,Memory_MB,Memory_MB_preproc,Recall_pct,CV,Avg_Degree
2,gist,dhnsw,42,9fe3928,2026-09-05T20:42:40,hallasan,60000,960,181,0.15572166442871094,8.904228687286377,0.00016736984252929688,1343.8113553524017,1352.8714730739594,91.8933,93.944575,86.01,0.28877760790490414,17.344722292219437
2,gist,vanilla,42,9fe3928,2026-09-05T21:43:33,hallasan,60000,960,181,0.0,0.0,0.0,3652.9446125030518,3652.9446125030518,143.66686,0.0,93.54,,30.981256925261793
