phase,dataset,variant,seed,git_sha,timestamp,host,N,Dim,ef_ref,threads,repeat,build_time_s,edges,avg_degree,Recall_pct,CV,M_index,ef_construction
2,sift1m,vanilla,42,9fe3928,2026-09-05T20:18:19,hallasan,60000,128,101,11,1,0.7732501029968262,1044215,17.403583333333334,,0.2103582810070143,16,100
2,sift1m,vanilla,42,9fe3928,2026-09-05T20:18:20,hallasan,60000,128,101,11,2,0.7831516265869141,1044589,17.409816666666668,,0.2103582810070143,16,100
2,sift1m,vanilla,42,9fe3928,2026-09-05T20:18:21,hallasan,60000,128,101,12,0,0.7844607830047607,1044848,17.414133333333332,97.83000000000001,0.2103582810070143,16,100
2,sift1m,vanilla,42,9fe3928,2026-09-05T20:18:22,hallasan,60000,128,101,12,1,0.7771387100219727,1044701,17.411683333333333,,0.2103582810070143,16,100
2,sift1m,vanilla,42,9fe3928,2026-09-05T20:18:22,hallasan,60000,128,101,12,2,0.7833147048950195,1045152,17.4192,,0.2103582810070143,16,100
2,sift1m,vanilla,42,9fe3928,2026-09-05T20:18:23,hallasan,60000,128,101,13,0,0.7616264820098877,1044969,17.41615,97.92999999999999,0.2103582810070143,16,100
2,sift1m,vanilla,42,9fe3928,2026-09-05T20:18:24,hallasan,60000,128,101,13,1,0.758690357208252,1045451,17.424183333333332,,0.2103582810070143,16,100
2,sift1m,vanilla,42,9fe3928,2026-09-05T20:18:25,hallasan,60000,128,101,13,2,0.7641727924346924,1044925,17.415416666666665,,0.2103582810070143,16,100
2,sift1m,vanilla,42,9fe3928,2026-09-05T20:18:25,hallasan,60000,128,101,14,0,0.7562768459320068,1045234,17.420566666666666,97.94,0.2103582810070143,16,100
2,sift1m,vanilla,42,9fe3928,2026-09-05T20:18:26,hallasan,60000,128,101,14,1,0.7399394512176514,1044438,17.4073,,0.2103582810070143,16,100
2,sift1m,vanilla,42,9fe3928,2026-09-05T20:18:27,hallasan,60000,128,101,14,2,0.7545661926269531,1044887,17.414783333333332,,0.2103582810070143,16,100
2,sift1m,vanilla,42,9fe3928,2026-09-05T20:18:28,hallasan,60000,128,101,15,0,0.7421095371246338,1044519,17.40865,97.84,0.2103582810070143,16,100
2,sift1m,vanilla,42,9fe3928,2026-09-05T20:18:28,hallasan,60000,128,101,15,1,0.7409372329711914,1045122,17.4187,,0.2103582810070143,16,100
2,sift1m,vanilla,42,9fe3928,2026-09-05T20:18:29,hallasan,60000,128,101,15,2,0.7489142417907715,1044767,17.412783333333334,,0.2103582810070143,16,100
2,sift1m,vanilla,42,9fe3928,2026-09-05T20:18:30,hallasan,60000,128,101,16,0,0.7446856498718262,1045328,17.422133333333335,97.83,0.2103582810070143,16,100
2,sift1m,vanilla,42,9fe3928,2026-09-05T20:18:31,hallasan,60000,128,101,16,1,0.7291042804718018,1044733,17.412216666666666,,0.2103582810070143,16,100
2,sift1m,vanilla,42,9fe3928,2026-09-05T20:18:31,hallasan,60000,128,101,16,2,0.7429769039154053,1045392,17.4232,,0.2103582810070143,16,100
2,sift1m,dhnsw,42,9fe3928,2026-09-05T20:18:35,hallasan,60000,128,101,1,0,3.286381244659424,858091,14.301516666666666,96.65000000000002,0.2103582810070143,21,132
2,sift1m,dhnsw,42,9fe3928,2026-09-05T20:18:38,hallasan,60000,128,101,1,1,3.2975146770477295,858091,14.301516666666666,,0.2103582810070143,21,132
2,sift1m,dhnsw,42,9fe3928,2026-09-05T20:18:41,hallasan,60000,128,101,1,2,3.283041477203369,858091,14.301516666666666,,0.2103582810070143,21,132
2,sift1m,dhnsw,42,9fe3928,2026-09-05T20:18:43,hallasan,60000,128,101,2,0,1.6909494400024414,857972,14.299533333333333,96.67,0.2103582810070143,21,132
2,sift1m,dhnsw,42,9fe3928,2026-09-05T20:18:45,hallasan,60000,128,101,2,1,1.6910512447357178,858066,14.3011,,0.2103582810070143,21,132
2,sift1m,dhnsw,42,9fe3928,2026-09-05T20:18:46,hallasan,60000,128,101,2,2,1.6839830875396729,858489,14.30815,,0.2103582810070143,21,132
2,sift1m,dhnsw,42,9fe3928,2026-09-05T20:18:48,hallasan,60000,128,101,3,0,1.1546378135681152,857906,14.298433333333334,96.76,0.2103582810070143,21,132
2,sift1m,dhnsw,42,9fe3928,2026-09-05T20:18:49,hallasan,60000,128,101,3,1,1.1474571228027344,858113,14.301883333333333,,0.2103582810070143,21,132
2,sift1m,dhnsw,42,9fe3928,2026-09-05T20:18:50,hallasan,60000,128,101,3,2,1.145526647567749,858043,14.300716666666666,,0.2103582810070143,21,132
2,sift1m,dhnsw,42,9fe3928,2026-09-05T20:18:51,hallasan,60000,128,101,4,0,0.8746247291564941,858045,14.30075,96.78,0.2103582810070143,21,132
2,sift1m,dhnsw,42,9fe3928,2026-09-05T20:18:52,hallasan,60000,128,101,4,1,0.8725795745849609,858001,14.300016666666666,,0.2103582810070143,21,132
2,sift1m,dhnsw,42,9fe3928,2026-09-05T20:18:53,hallasan,60000,128,101,4,2,0.8719282150268555,858077,14.301283333333334,,0.2103582810070143,21,132
2,sift1m,dhnsw,42,9fe3928,2026-09-05T20:18:53,hallasan,60000,128,101,5,0,0.7130084037780762,858166,14.302766666666667,96.77000000000002,0.2103582810070143,21,132
2,sift1m,dhnsw,42,9fe3928,2026-09-05T20:18:54,hallasan,60000,128,101,5,1,0.71376633644104,858329,14.305483333333333,,0.2103582810070143,21,132
2,sift1m,dhnsw,42,9fe3928,2026-09-05T20:18:55,hallasan,60000,128,101,5,2,0.7097275257110596,858269,14.304483333333334,,0.2103582810070143,21,132
2,sift1m,dhnsw,42,9fe3928,2026-09-05T20:18:55,hallasan,60000,128,101,6,0,0.6017484664916992,857961,14.29935,96.60000000000001,0.2103582810070143,21,132
2,sift1m,dhnsw,42,9fe3928,2026-09-05T20:18:56,hallasan,60000,128,101,6,1,0.6292266845703125,857798,14.296633333333334,,0.2103582810070143,21,132
2,sift1m,dhnsw,42,9fe3928,2026-09-05T20:18:57,hallasan,60000,128,101,6,2,1.005803108215332,858097,14.301616666666666,,0.2103582810070143,21,132
2,sift1m,dhnsw,42,9fe3928,2026-09-05T20:18:58,hallasan,60000,128,101,7,0,0.7032902240753174,858187,14.303116666666666,96.76,0.2103582810070143,21,132
2,sift1m,dhnsw,42,9fe3928,2026-09-05T20:18:58,hallasan,60000,128,101,7,1,0.6980721950531006,858047,14.300783333333333,,0.2103582810070143,21,132
2,sift1m,dhnsw,42,9fe3928,2026-09-05T20:18:59,hallasan,60000,128,101,7,2,0.7059063911437988,858096,14.3016,,0.2103582810070143,21,132
2,sift1m,dhnsw,42,9fe3928,2026-09-05T20:19:00,hallasan,60000,128,101,8,0,0.6853742599487305,857922,14.2987,96.77000000000001,0.2103582810070143,21,132
2,sift1m,dhnsw,42,9fe3928,2026-09-05T20:19:01,hallasan,60000,128,101,8,1,0.6879563331604004,858410,14.306833333333334,,0.2103582810070143,21,132
2,sift1m,dhnsw,42,9fe3928,2026-09-05T20:19:01,hallasan,60000,128,101,8,2,0.6913635730743408,857911,14.298516666666666,,0.2103582810070143,21,132
2,sift1m,dhnsw,42,9fe3928,2026-09-05T20:19:02,hallasan,60000,128,101,9,0,0.7228579521179199,858038,14.300633333333334,95.77000000000001,0.2103582810070143,21,132
2,sift1m,dhnsw,42,9fe3928,2026-09-05T20:19:03,hallasan,60000,128,101,9,1,0.7179327011108398,858627,14.31045,,0.2103582810070143,21,132
2,sift1m,dhnsw,42,9fe3928,2026-09-05T20:19:03,hallasan,60000,128,101,9,2,0.7312207221984863,857603,14.293383333333333,,0.2103582810070143,21,132
2,sift1m,dhnsw,42,9fe3928,2026-09-05T20:19:04,hallasan,60000,128,101,10,0,0.7219853401184082,858638,14.310633333333334,96.78000000000002,0.2103582810070143,21,132
2,sift1m,dhnsw,42,9fe3928,2026-09-05T20:19:05,hallasan,60000,128,101,10,1,0.7098116874694824,858917,14.315283333333333,,0.2103582810070143,21,132
2,sift1m,dhnsw,42,9fe3928,2026-09-05T20:19:06,hallasan,60000,128,101,10,2,0.7235026359558105,858245,14.304083333333333,,0.2103582810070143,21,132
2,sift1m,dhnsw,42,9fe3928,2026-09-05T20:19:06,hallasan,60000,128,101,11,0,0.7223691940307617,858003,14.30005,96.53,0.2103582810070143,21,132
2,sift1m,dhnsw,42,9fe3928,2026-09-05T20:19:07,hallasan,60000,128,101,11,1,0.7157790660858154,857705,14.295083333333332,,0.2103582810070143,21,132
2,sift1m,dhnsw,42,9fe3928,2026-09-05T20:19:08,hallasan,60000,128,101,11,2,0.7208571434020996,857428,14.290466666666667,,0.2103582810070143,21,132
2,sift1m,dhnsw,42,9fe3928,2026-09-05T20:19:09,hallasan,60000,128,101,12,0,0.7192068099975586,857514,14.2919,96.73,0.2103582810070143,21,132
2,sift1m,dhnsw,42,9fe3928,2026-09-05T20:19:09,hallasan,60000,128,101,12,1,0.7157008647918701,858515,14.308583333333333,,0.2103582810070143,21,132
2,sift1m,dhnsw,42,9fe3928,2026-09-05T20:19:10,hallasan,60000,128,101,12,2,0.7121474742889404,857609,14.293483333333333,,0.2103582810070143,21,132
2,sift1m,dhnsw,42,9fe3928,2026-09-05T20:19:11,hallasan,60000,128,101,13,0,0.7131147384643555,858144,14.3024,96.66999999999999,0.2103582810070143,21,132
2,sift1m,dhnsw,42,9fe3928,2026-09-05T20:19:12,hallasan,60000,128,101,13,1,0.70684814453125,857809,14.296816666666667,,0.2103582810070143,21,132
2,sift1m,dhnsw,42,9fe3928,2026-09-05T20:19:12,hallasan,60000,128,101,13,2,0.7112338542938232,857534,14.292233333333334,,0.2103582810070143,21,132
2,sift1m,dhnsw,42,9fe3928,2026-09-05T20:19:13,hallasan,60000,128,101,14,0,0.699413537979126,857738,14.295633333333333,96.41000000000001,0.2103582810070143,21,132
2,sift1m,dhnsw,42,9fe3928,2026-09-05T20:19:14,hallasan,60000,128,101,14,1,0.6908941268920898,858703,14.311716666666667,,0.2103582810070143,21,132
2,sift1m,dhnsw,42,9fe3928,2026-09-05T20:19:14,hallasan,60000,128,101,14,2,0.706052303314209,858677,14.311283333333334,,0.2103582810070143,21,132
2,sift1m,dhnsw,42,9fe3928,2026-09-05T20:19:15,hallasan,60000,128,101,15,0,0.7009758949279785,858065,14.301083333333333,96.56,0.2103582810070143,21,132
2,sift1m,dhnsw,42,9fe3928,2026-09-05T20:19:16,hallasan,60000,128,101,15,1,0.6899008750915527,857856,14.2976,,0.2103582810070143,21,132
2,sift1m,dhnsw,42,9fe3928,2026-09-05T20:19:16,hallasan,60000,128,101,15,2,0.6969959735870361,858472,14.307866666666667,,0.2103582810070143,21,132
