Dataset,N,Dim,ef_ref,seed,CV_Transform,Build_Time_s,Memory_MB,Recall_pct,CV,Avg_Degree,Delta,M_low,M_high,ef_low,ef_high
mnist,60000,784,149,42,vanilla,646.2402110099792,153.330456,99.33,,30.987120041215867,,,,,
mnist,60000,784,149,42,linear,536.5763416290283,97.562291,98.14,0.2633617197445662,17.78148285312199,0.3950425796168493,9.0,22.0,90.0,207.0
mnist,60000,784,149,42,exp,558.9908971786499,103.426242,98.39,0.2633617197445662,19.59353764457045,0.32634864517839235,10.0,21.0,100.0,197.0
mnist,60000,784,149,42,sqrt,453.1684470176697,73.801681,85.66,0.2633617197445662,9.421250775090796,0.7697817024489955,3.0,28.0,34.0,263.0
mnist,60000,784,149,42,ratio,559.4145839214325,103.403332,98.52,0.2084610572163087,19.59458607805771,0.31269158582446305,10.0,21.0,102.0,195.0
